Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
170065-DC,BSC for Structural and General Engineering Consulting Services,Engineering System Solutions Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/19/2016,,12/19/2023
170067-CB,Blanket Services Contract for Professional Consulting Services (Various Project's Related to the City's Capital Improvement Program),"Carollo Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/19/2016,,12/18/2019
170095-TF,ASC for Medical District Parking Garage,KGA Architecture,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/19/2016,,
170109-DD,Dun and Bradstreet Subscription,Dun & Bradstreet,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/28/2016,,01/30/2020
170099-JL,Community Housing Foreclosure Events,Consumer Credit Counseling Service of Southern Nevada DBA Financial Guidance Center,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/29/2016,,09/30/2017
16.53541.01-CB,2015 Digester Condition Assessment and Rehabilitation Design (DCARD),MMC Inc.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/04/2017,,10/31/2020
16.53541.01-CB,2015 Digester Condition Assessment and Rehabilitation Design (DCARD),MMC Inc.,BID FILES,,01/04/2017,,10/31/2020
16.53541.05-CB,DHWRC 2015 Upgrades Project,MMC Inc.,BID FILES,,01/04/2017,,12/31/2017
16.53541.05-CB,DHWRC 2015 Upgrades Project,MMC Inc.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/04/2017,,12/31/2017
170035-PH,RFP for INsurance Broker Services,Willis of Arizona Inc.,BID FILES,,01/04/2017,,01/08/2021
170035-PH,RFP for INsurance Broker Services,Willis of Arizona Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/04/2017,,01/08/2021
17.50681-TF,Bonanza Mojave (BOMO) Force Main Phase 2,Harber Company DBA Mountain Cascade of Nevada,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/05/2017,,06/30/2018
17.50681-TF,Bonanza Mojave (BOMO) Force Main Phase 2,Harber Company DBA Mountain Cascade of Nevada,BID FILES,,01/05/2017,,06/30/2018
170027-RF,Ford Vehicles Bid,Gaudin Ford,BID FILES,,01/05/2017,,02/27/2021
170027-RF,Ford Vehicles Bid,Gaudin Ford,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/05/2017,,02/27/2021
170072-JH,PSA On SIte and On Call Planning Services,SafeBuilt LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/05/2017,,08/30/2017
170092-SK,Major League Soccer and Stadium Project,"Inner Circle Sports, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/05/2017,,
170100-TF,PSA Sewer Rehab Group J,Slater Hanifan Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/05/2017,,09/30/2017
170088-TF,PDSC for Teton Trails LaCrosse Fields,Design Vision DBA Southwick Landscape Architects,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/11/2017,,09/30/2017
170094-CB,Construction Manager as Agent Agreement for Water Pollution Control Facility CM Services,"HDR Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/11/2017,,06/30/2018
170075-CB,WPCF Renewable Energy Feasibility and Pre-Design,Black and Veatch,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/17/2017,,08/30/2017
16.59807-TF-B,CMAR for Doolittle Community Center Roof and HVAC Replacement,Whiting-Turner Contracting Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/23/2017,,
170106-PH,Schedule Express License Agreement,Informer Systems,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/26/2017,,03/30/2017
170119-CB,The E-Verify MOU for Employers Using an E-Verify Agent,E-Verify,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/26/2017,,12/31/2050
170120-JH,GIS Data Migration,Skye Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/26/2017,,09/30/2017
17.56107-DC,SID 1521 Gowan Road and Durango Drive,"Unicon, LLC",BID FILES,,01/30/2017,,04/30/2017
17.56107-DC,SID 1521 Gowan Road and Durango Drive,"Unicon, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/30/2017,,04/30/2017
14.50167-TF,City Clerk 4 Hour Fire Vault at West Yard,CMMCM LLC DBA Muller Construction,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/31/2017,,
14.50167-TF,City Clerk 4 Hour Fire Vault at West Yard,CMMCM LLC DBA Muller Construction,BID FILES,,01/31/2017,,
170090-MC,Aspect SMS Gateway Subscription,Blue Flame Indurstries Inc DBA Integrated Voice Solutions (IVS),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/31/2017,,02/28/2022
170104-DC,PDS Sandhill Relief,Stantec Consulting Services Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/01/2017,,02/01/2022
14.41919-TF (Revised),Freeway Channel - Washington:  Martin Luther King Boulevard To Rancho Drive,"Tand, Inc.",BID FILES,,02/02/2017,,10/30/2018
14.41919-TF (Revised),Freeway Channel - Washington:  Martin Luther King Boulevard To Rancho Drive,"Tand, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/02/2017,,10/30/2018
170006-GL,City Centre Parking Garage Access &  Revenue Control,Parking Soft,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/02/2017,,06/01/2017
170006-GL,City Centre Parking Garage Access &  Revenue Control,Parking Soft,BID FILES,,02/02/2017,,06/01/2017
170098-JL,General Foreclosure and Homeless Trend Analysis,Applied Market Analysis LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/02/2017,,01/30/2021
170105-DC,PDS Lieburn Senior Center Additional Room,Novus Architecture,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/07/2017,,01/31/2022
170103-PH,Servicelead License and Impelementation,Regola,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/13/2017,,03/30/2021
170110-DG,Skillsoft,Skillsoft,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/13/2017,,06/19/2020
15.59806-DC,Charleston Heights Community Center Renovation,Monument Construction,BID FILES,,02/15/2017,,11/01/2017
15.59806-DC,Charleston Heights Community Center Renovation,Monument Construction,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/15/2017,,11/01/2017
170023-RA,MUC for Aftermarket Auto Parts,"Elliot Auto Supply Co., Inc. DBA Factory Motor Parts",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/23/2017,,12/31/2020
170118-DC,PDS DSC Third Floor Remodel,Aptus,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/23/2017,,02/28/2022
170129-JH,On-Call PSA for City of Las Vegas Medical District Park+ Scenario Development,Kimley Horn,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/27/2017,,03/30/2018
170136-SK,Las Vegas Medical District Corporation Consulting,The JA Barrett Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/28/2017,,08/28/2017
15.59812-TF,Mayfair Place Park,"Tand, Inc.",BID FILES,,03/01/2017,,03/01/2022
15.59812-TF(DC),Mayfair Place Park,"Tand, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/01/2017,,03/01/2022
17.53541.01-CB,WPCF Reuse Pump Station,MMC Inc.,BID FILES,,03/01/2017,,06/30/2018
17.53541.01-CB,WPCF Reuse Pump Station,MMC Inc.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/01/2017,,06/30/2018
170102-PH,Lowcode License and Implementation,Priority Solutions Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/01/2017,,04/30/2021
170137-CB,Professional Services Contract for Payroll Processing Services,Payroll Solutions III Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/07/2017,,02/28/2022
170086-SK,Invoice Cloud,Invoice Cloud Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/13/2017,,01/31/2020
170141-JL,PSA for Symphony Park TID Parking Garage,Walker Parking Consultiants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/15/2017,,03/30/2020
170148-DC,PDS Las Vegas Blvd Gateway Sign,Selbert Perkins Design,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/15/2017,,03/15/2022
170043-PH,RFP for PCI-DSS Compliance Assistance,"Proviti, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/16/2017,,01/30/2018
170043-PH,RFP for PCI-DSS Compliance Assistance,"Proviti, Inc.",BID FILES,,03/16/2017,,01/30/2018
170123-PH,Carbon Black Subscription,Inmix Technology,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/22/2017,,04/30/2021
17.1762.01-JH,2017 Roadside Barrier Repairs & Inspections,"Nevada Barricade & Sign Company, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/23/2017,,03/30/2018
17.1762.01-JH,2017 Roadside Barrier Repairs & Inspections,"Nevada Barricade & Sign Company, Inc.",BID FILES,,03/23/2017,,03/30/2018
170140-SK,Purchasing Management Consulting,Management Partners Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/23/2017,,
170142-PH,MUC for Okta License,Okata Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/23/2017,,04/30/2021
170158-JH,Absorption Study for Skye Canyon Phase IIA Special Improvement District No. 609,RCG Economics LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/23/2017,,08/30/2017
170157-JH,Appraisal Services for Skye Canyon Phase IIA Special Improvement District No. 609,Continental Realty Advisors VSG,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/27/2017,,09/30/2017
170163-JH,Absorption Study Summerlin Village 26 SID 813,RCG Economics LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/27/2017,,08/30/2017
170149-JH,PSA for Rancho Road System Storm Drain - Elkhorn (Hualapai to Grand Canyon),Stantec Consulting Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/29/2017,,06/30/2022
170164-MC,Amusement Park Rides,Davis Amustments Cascadia Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/29/2017,,
170162-JH,Appraisal Services Summerlin Village 26 SID 813,Continental Realty Advisors VSG,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/03/2017,,08/30/2017
170165-DG,DNN Software License and Service Agreement,DNN Corp,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/03/2017,,04/03/2018
170131-DC,Gilmore Cliff Shadows Park PSA,Stantec Consulting Services Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/05/2017,,04/05/2022
170115-JL,Project AMP Utility Box Art,Various,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/06/2017,,12/31/2017
170121-JL,NV Energy Utility Box Art Painting,NE Energy DBA Nevada Power Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/06/2017,,05/30/2021
17.26781-DC,Fire Station 103 Plumbing Replacement,"CMMCM, LLC. dba Muller Construction",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/10/2017,,
17.26781-DC,Fire Station 103 Plumbing Replacement,"CMMCM, LLC. dba Muller Construction",BID FILES,,04/10/2017,,06/19/2017
17.26781A-DC,"Fire Station 103 Renovation, Remodel and Interior Finishes","CMMCM, LLC. dba Muller Construction",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/10/2017,,
17.26781A-DC,"Fire Station 103 Renovation, Remodel and Interior Finishes","CMMCM, LLC. dba Muller Construction",BID FILES,,04/10/2017,,
170126-JH,Form Based Code to Implement Downtown Master Plan,Lisa Wise Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/11/2017,,07/30/2018
170124-MC,TeamViewer Internet-Based Remote Access Software,Teamviewer,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/12/2017,,05/30/2022
170174-RA,MUC for Caterpillar Diesel Generator Set,Cashman Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/13/2017,,08/30/2017
170054-DG,MOTOROLA VERINT,Motorola Solutions Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/19/2017,,
170125-DG,Litera,Litera,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/19/2017,,
16.49876-JH,Brent Lane Drainage System and Trail,"Meadow Valley Contractors, Inc.",BID FILES,,04/20/2017,,05/01/2018
16.49876-JH,Brent Lane Drainage System and Trail,"Meadow Valley Contractors, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/20/2017,,05/01/2018
16.49876-JH,Brent Lane Drainage System and Trail,"Meadow Valley Contractors, Inc.",BID FILES,,04/20/2017,,05/01/2018
170079-TG,Concrete Poles and Components,Dana Kepner Company Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/20/2017,,04/30/2022
170079-TG,Concrete Poles and Components,Dana Kepner Company Inc.,BID FILES,,04/20/2017,,04/30/2022
170153-MC,Humboldt State University Intern Agreement,Trustees of California State University on behalf of Humboldt State University,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/20/2017,,04/30/2022
170178-DD,E-Commerce Store,Eagle Promotions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/20/2017,,04/30/2020
170179-SK,Symphony Park Mixed- Use Market Analysis,RCGEconomics,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/24/2017,,
170091-TG,Small Engine Repair Service,Stotz Equipment,BID FILES,,04/25/2017,,04/25/2021
170091-TG,Small Engine Repair Service,Stotz Equipment,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/25/2017,,04/25/2021
170167-JH,"PDSC for Flamingo - Boulder Hwy. North, Charleston - Maryland to Boulder Hwy and Maryland Pkwy System",Atkins North America,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/27/2017,,08/30/2018
170175-MC,Humboldt State University Intern Agreement,LexRay LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/01/2017,,
170152-CB,PDSC for WPCF – Biological Nutrient Removal Facility Rehabilitation,GCW Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/03/2017,,03/30/2019
170154-GL,Mutual Use Contract for Security Services,Universal Protection Service LLC dba Allied Universal Security Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/03/2017,,03/31/2019
170173-PH,OpportunitySpace License Agreement,OpportunitySpace Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/08/2017,,05/08/2021
170185-DD,Long Distance Services,AT&T,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/09/2017,,06/30/2017
170087-RA,Biofilter Media Replacement Services,RAM Enterprises Inc.,BID FILES,,05/11/2017,,05/30/2025
170087-RA,Biofilter Media Replacement Services,RAM Enterprises Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/11/2017,,05/30/2025
170130-TG,Debris Removal,"Capriati Construction Corp, Inc.",BID FILES,,05/17/2017,,05/30/2017
170130-TG,Debris Removal,"Capriati Construction Corp, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/17/2017,,05/30/2017
170199-DG,Online Training WPCF,Coastal Training Technologies,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/17/2017,,05/16/2020
15.59240-TF,Hualapai Trails Restrooms,CG&B Enterprises Inc.,BID FILES,,05/18/2017,,12/01/2017
15.59240-TF,Hualapai Trails Restrooms,CG&B Enterprises Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/18/2017,,12/01/2017
170183-MC,University of Tennessee Knoxville Intern Affiliation Agreement,University of Tennessee,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/18/2017,,11/30/2017
170189-PH,RecTrac Oracle Business Intelligence Artifacts,Arisant,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/18/2017,,
170190-DD,MUC for Personal Protective Equipment Maintenance,"ECMS, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/23/2017,,12/31/2021
170159-JL,RFP for Strong Start Academy,,BID FILES,,05/24/2017,,
170205-DG,Guardian Emerson Support,Emerson Process Management,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/31/2017,,04/30/2022
170207-PH,Numina Traffic Monitoring Pilot,CTY In. DBA Numina,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2017,,01/30/2018
170207-PH,Numina Traffic Monitoring Pilot,CTY In. DBA Numina,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2017,,01/30/2018
170147-SK,City Centre Garage Access System Installation,Cobblestone Construction,BID FILES,,06/07/2017,,08/30/2017
170147-SK,City Centre Garage Access System Installation,Cobblestone Construction,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/07/2017,,08/30/2017
170169-SK,Prime Design Contract for FY 18-19 Traffic Signal and ITS Project Additional Services,"HDR Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/07/2017,,09/15/2019
170184-DC,Material Testing and Special Inspection Services Downtown Pedestrian & Bicycle Improvements - Gass Ave,Ninyo & Moore,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/07/2017,,06/30/2019
160165-CB-A,Parking Mobile Payment Services,Passport Parking Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/13/2017,,02/28/2022
170135-RA,Scrap Metal & Cardboard Recycling,Nevada Recycling,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/15/2017,,05/01/2021
170150-RA,MUC for CCWRD ARC for Pump & Blower Repair Services,"DXP Enterprises, Inc. dba Quadna, A DXP Company",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/15/2017,,05/31/2018
170209-DD,Inserter,Ricoh USA,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/15/2017,,07/01/2022
170122-PH,Financial Consulting Services,Zions Public Finance Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/20/2017,,06/30/2018
170220-DG,Sphera Eula Compliance,Sphera,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/20/2017,,06/17/2018
17.1762.02-JH,Annual AC Pavement Reconstruction,Las Vegas Paving Corporation,BID FILES,,06/21/2017,,07/30/2022
17.1762.02-JH,Annual AC Pavement Reconstruction,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2017,,07/30/2022
170143-MC,Missoula Theatre Summer Camp Residency,Missoula Children's Theatre (MCT),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2017,,
170215-SK,Power DMS- Public Safety Database Program,POWERDMS INC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/21/2017,,06/12/2020
170217-DG,TechSmith Snagit Software EULA,TechSmith Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/22/2017,,06/20/2018
170219-CB,Contract for Downtown Loop Summit Preparation and Facilitation,The JABarrett Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/22/2017,,12/31/2017
170139-JL-D,RFP Public Attorneys for Indigent Defendants - Department 4,Law Offices of Frank P Kocka PLLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/28/2017,,08/30/2022
170139-JL-E,RFP Public Attorneys for Indigent Defendants - Department 5,"Law Offices Of Paul J. Adras, Esq., Pc D/B/A Adras & Altig Attorneys At Law",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/28/2017,,08/30/2022
170139-JL-F,RFP Public Attorneys for Indigent Defendants - Department 6,"Bellon & Maningo, Ltd.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/28/2017,,08/30/2022
170194-JL,Downtown Homeless Outreach - HELP of Southern Nevada,HELP of Southern Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/28/2017,,07/30/2018
170196-JL,Downtown Homeless Outreach US Vets,United States Veterans Initiative (US Vets),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/28/2017,,08/30/2017
170193-JH,FBC 101 Classes Las Vegas Engagement Agreement,Form Based Codes Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2017,,
170097-JL,Homeless and Panhandling Outreach Services,"Caridad, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/03/2017,,03/31/2023
170138-PH,RFP for Identity and Access Management Strategy Consulting,EST Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/05/2017,,
170188-PH,Hitachi Visualization Proof of Concept,Hitachi Insight Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/10/2017,,01/31/2018
170139-JL-B,RFP Public Attorneys for Indigent Defendants - Department 2,Law Offices of Benjamin Nadig Chartered,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/11/2017,,08/30/2022
170139-JL-C,RFP Public Attorneys for Indigent Defendants - Department 3,Law Office of Julian Gregory LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/11/2017,,08/30/2022
170225-DG,iSolved Infinisource Terms,iSolved Infinisource,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/11/2017,,07/03/2018
170146-PH,Debt Collection Services,"Aargon Agency, Inc. dba Aargon Collection Agency",BID FILES,,07/12/2017,,01/12/2023
170146-PH,Debt Collection Services,"Aargon Agency, Inc. dba Aargon Collection Agency",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/12/2017,,01/12/2023
170216-DC,Downtown Interceptor Sewer Rehab Phase II,"Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2017,,07/19/2021
170218-DC,PDS Sewer Rehabilitation Group M,"Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2017,,07/19/2022
170223-DD,MUC for EA18 Ambulance,"Demers Ambulance USA, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2017,,10/30/2017
170226-DC,"BSC Independent Cost Estimating Bidability, Constructability, & General Engineering Consulting Services",Innovative Contracting & Engineering,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2017,,07/31/2022
170229-PH,Oracle Public Cloud Machine Project Planning,,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2017,,02/15/2018
180009-GL,Club Ride EZ Rider Transit Pass Program FY2018,Regional Transportation Commission of Southern Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/19/2017,,07/31/2018
180019-DD,Bookfair Agreement,Barnes and Noble,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/26/2017,,08/30/2017
180005-DG,Western Integrated Services,Western Integrated Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/27/2017,,07/27/2022
180013-DG,Bitvise Remote Access Software,Bitvise SSH,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/27/2017,,07/27/2022
180012-JH,Placemaking w/Form Based Code Engagement Agreement,Form Based Codes Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/01/2017,,09/30/2017
180001-DC,PDS Woofter Family Park Improvements,"EPG, LLC.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/02/2017,,
170139-JL,RFP Public Attorneys for Indigent Defendants,Various,BID FILES,,08/03/2017,,
180018-PH,Quantela CPHSense Hub,Quantela Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/16/2017,,09/16/2021
17.46128-JH,CMAR for Downtown Pedestrian and Bicycle Improvements 3rd Street - Phase 2 Charleston to Bonneville,Las Vegas Paving Corporation,BID FILES,,08/21/2017,,08/21/2018
17.46128-JH,CMAR for Downtown Pedestrian and Bicycle Improvements 3rd Street - Phase 2 Charleston to Bonneville,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/21/2017,,08/21/2018
17.46128-JH,CMAR for Downtown Pedestrian and Bicycle Improvements 3rd Street - Phase 2 Charleston to Bonneville,Las Vegas Paving Corporation,BID FILES,,08/21/2017,,08/21/2018
180017-PH,OBIEE to Oracle BI Cloud Migration,Arisant,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/22/2017,,10/31/2017
16.65829-DC,Muni Pool Shade Structure,"CG&B Enterprises, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/30/2017,,
16.65829-DC,Muni Pool Shade Structure,"CG&B Enterprises, Inc.",BID FILES,,08/30/2017,,
180036-JL,2017 Las Vegas Community Survey,ETC Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/30/2017,,12/31/2017
180023-DC,BSC Marterial Testing & Special Inspection Consulting,"KLEINFELDER, INC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/06/2017,,09/06/2021
180052-DD,Software Subscription,Neopost USA Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/07/2017,,08/30/2022
180054-DD,JAVS Maintenance Agreement,"Justice AV Solutions JAVS""",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/07/2017,,08/30/2022
170202-MC,ARC for Floratine Turf Fertilizer,Southwest Turf Support LLC```,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/12/2017,,
180026-JH,PSA for Symphony Park Garages B & L,GES Geotechnical & Environmental Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/12/2017,,
